Frequency_of_outbreaks,Magnitude_of_outbreaks_Deaths,Magnitude_of_outbreaks_Infected,Magnitude_of_outbreaks_Severity_Index,Security_and_Conflict_Index
0.6437893,0.54675335,0.6669663,0.6932534,0.5064883
0.6574471,0.49611852,0.60114527,0.4962767,0.5270722
0.5929178,0.62040746,0.63733935,0.5555076,0.44376558
0.6180427,0.5455129,0.6687129,0.65339553,0.4217953
0.4926231,0.64301133,0.689979,0.592367,0.50880766
0.5858146,0.61989295,0.6896628,0.63785577,0.5004213
0.5969224,0.58142585,0.5607311,0.5131124,0.58700675
0.6178668,0.5909041,0.69855624,0.5162418,0.5544673
0.648829,0.54102486,0.60364515,0.54691637,0.54087746
0.59080243,0.54687,0.5935968,0.614806,0.54134166
0.543349,0.6235601,0.7076224,0.53514576,0.5667801
0.6829637,0.6522823,0.7028816,0.63980746,0.65560305
0.55022305,0.6129428,0.6885177,0.74812967,0.5904317
0.6258384,0.6304071,0.67679846,0.6228835,0.5840997
0.64643556,0.65454644,0.80086136,0.6333194,0.5466733
0.56010383,0.49130675,0.7292922,0.5066002,0.67969424
0.65881276,0.61250883,0.6285074,0.6459887,0.7049838
0.6855971,0.64256185,0.81535,0.6560092,0.65769124
0.6830365,0.6884188,0.7617443,0.5746859,0.55891526
0.48914146,0.46347013,0.57171255,0.43564913,0.58921766
0.5837433,0.5687215,0.6453378,0.5728343,0.53183126
0.5885561,0.69168174,0.6852398,0.6103131,0.55017096
0.62564635,0.5719514,0.6798544,0.6056773,0.5106633
0.6017148,0.61591965,0.606405,0.6011216,0.61059767
0.59481484,0.53712535,0.5681183,0.62851954,0.52689826
0.55673134,0.5796819,0.63632,0.5762705,0.58470917
0.52574664,0.57436144,0.6150798,0.5483982,0.627249
0.67994946,0.5871441,0.7159277,0.6161753,0.6332469
0.53379846,0.58007205,0.6857815,0.6136442,0.63870716
0.6490049,0.6394085,0.7190429,0.6336355,0.6591611
0.5695211,0.58189565,0.63111746,0.6003597,0.64664394
0.67269003,0.560635,0.6502254,0.57657546,0.5719232
0.62842375,0.57390475,0.7180244,0.61758745,0.5821496
0.5923658,0.6256131,0.6818235,0.6921686,0.6706771
0.5227666,0.51065934,0.66814005,0.55470604,0.6437269
0.5964317,0.45279977,0.6532887,0.49951527,0.5895504
0.54800117,0.551226,0.6008836,0.59328294,0.5445611
0.6301888,0.63974047,0.68547297,0.5910345,0.5471862
0.579154,0.62876636,0.67363465,0.58158064,0.4746225
0.62002647,0.45469257,0.5726371,0.5563911,0.49203965
0.61252314,0.5486782,0.680642,0.69299626,0.4689036
0.6893336,0.59331626,0.6726174,0.5689083,0.43763417
0.7365604,0.6318035,0.803306,0.68075395,0.42983323
0.63223755,0.54993427,0.6444597,0.5341534,0.48543602
0.74901235,0.5841944,0.68823785,0.6599627,0.4621269
0.5503498,0.53296316,0.6424601,0.5654832,0.4490551
0.60396224,0.6559755,0.71853805,0.58101106,0.37126282
0.5739593,0.65400565,0.720708,0.64766085,0.44635093
0.62501115,0.6590054,0.6975053,0.61124086,0.50490236
0.60694957,0.551312,0.48174307,0.49249387,0.4579546
0.5720219,0.58270574,0.5904298,0.6455103,0.52735496
0.59767556,0.6345084,0.7261549,0.6133903,0.5178139
0.5658096,0.6050882,0.6844057,0.639176,0.39906374
0.7066705,0.69330263,0.7932075,0.7540814,0.29711944
0.66076255,0.6956514,0.74264246,0.6158518,0.23256148
0.6397768,0.7293279,0.74284345,0.7061537,0.2942366
0.6417557,0.6636033,0.75697994,0.60091233,0.39322352
0.59918755,0.5906088,0.55183023,0.58614,0.33643097
0.5934611,0.5774119,0.68604803,0.6006327,0.29182053
0.5819191,0.5752655,0.7380081,0.7418833,0.3306663
0.67117125,0.6403178,0.6923024,0.682709,0.29013193
0.662476,0.7067563,0.7461408,0.6157947,0.2558667
0.5777682,0.61170053,0.6275996,0.53632987,0.35422665
0.5736365,0.6083591,0.69787896,0.5895787,0.4096732
0.4781893,0.6187345,0.69683814,0.54795086,0.5600825
0.4610407,0.5858069,0.60157067,0.54194725,0.56110793
0.5194864,0.5540489,0.6634014,0.63950986,0.601956
0.5673948,0.57356423,0.66864926,0.6004568,0.54098475
0.6429375,0.6424396,0.71103764,0.64637125,0.56383944
0.6078309,0.6056256,0.7189165,0.5787369,0.5280329
0.512433,0.5704857,0.6448913,0.5809655,0.49439237
0.6581323,0.5847924,0.67899716,0.5728362,0.5428227
0.6224058,0.65362704,0.60536665,0.604699,0.57020247
0.6574931,0.6235156,0.7107918,0.6203422,0.5731962
0.6062236,0.5693463,0.70563275,0.66174513,0.5383772
0.5561462,0.6050585,0.7077877,0.5092116,0.56139934
0.54743636,0.61542076,0.68552625,0.6341797,0.6142529
0.63610137,0.5218866,0.610415,0.48272654,0.64609295
0.6486222,0.6152885,0.68853366,0.62963104,0.65658164
0.64477557,0.5770061,0.7460706,0.6988469,0.61930776
0.6427519,0.5497647,0.6447668,0.626029,0.62641215
0.57062423,0.49023438,0.6942845,0.64651674,0.6186744
0.6118259,0.62177527,0.6415998,0.51381534,0.59288394
0.790937,0.75847685,0.8034671,0.677335,0.63168263
0.49786428,0.4413398,0.5678798,0.5835335,0.6125185
0.66058546,0.59857285,0.7079763,0.5784234,0.44237962
0.56724274,0.57684654,0.58680177,0.54984564,0.47620645
0.7402462,0.7283985,0.72152287,0.63374144,0.4834362
0.62388015,0.6073374,0.6662623,0.63748586,0.54101795
0.541063,0.62045646,0.63802636,0.57882774,0.5954881
0.57849807,0.5984423,0.66324735,0.60781723,0.65657735
0.5252941,0.5445729,0.6306062,0.54045415,0.71567935
0.54404837,0.59163594,0.58463335,0.5860422,0.6730253
0.6698737,0.66351783,0.613021,0.5744809,0.6756027
0.45860708,0.583714,0.67047036,0.57423514,0.6303368
0.6239008,0.5808202,0.7622638,0.63430256,0.6299508
0.6419321,0.5743549,0.64839184,0.6814804,0.60942686
0.5833145,0.59319824,0.6824104,0.6446254,0.6058865
0.6623888,0.61965704,0.7169035,0.637249,0.5983125
0.5506219,0.5478559,0.6760744,0.6389928,0.53460526
0.6309924,0.6962072,0.7692215,0.6067225,0.5787895
0.5736582,0.5894465,0.5857295,0.53324175,0.6298683
0.51667976,0.44379056,0.5180565,0.55905503,0.65434515
0.7132508,0.47972164,0.631312,0.6113891,0.57848954
0.6559602,0.5756807,0.57087487,0.6262934,0.60879636
0.5173077,0.4672749,0.61559016,0.54400706,0.57048255
0.62096083,0.50382364,0.5779273,0.56863487,0.6743287
0.6482291,0.594939,0.6785474,0.56646854,0.65901077
0.59780383,0.6285456,0.65051526,0.58808124,0.6149882
0.5977521,0.6424659,0.6656365,0.5789694,0.5997408
0.58110934,0.55369765,0.6645689,0.49589926,0.60925454
0.6552228,0.6325211,0.6474441,0.637537,0.6237636
0.497166,0.51376796,0.64183724,0.5611838,0.6100953
0.53155965,0.59896004,0.6243794,0.7001599,0.61928135
0.64195704,0.6562005,0.76709807,0.61356235,0.6409951
0.58607036,0.63910747,0.70434105,0.6362635,0.5715812
0.64405024,0.6077764,0.6681502,0.5648435,0.55195975
0.7255297,0.591695,0.654657,0.61769927,0.46183047
0.60032415,0.58565426,0.5636115,0.56614363,0.47011492
0.5629434,0.6432594,0.717323,0.61806035,0.43480223
0.5579865,0.6917076,0.5996784,0.63797635,0.48043174
0.45915347,0.48634085,0.61232555,0.54363453,0.5056826
0.67424643,0.56528294,0.6919913,0.7173395,0.50965834
0.63050467,0.6349897,0.71879673,0.62173223,0.49714383
0.7017391,0.63562346,0.7058468,0.6524697,0.57870823
0.5212133,0.67867976,0.7079613,0.6207738,0.56083155
0.6434607,0.6684465,0.7023223,0.60985535,0.5358544
0.64666915,0.61678076,0.7541702,0.61911225,0.5400353
0.6238809,0.62592083,0.8055118,0.6802423,0.49960905
0.5942514,0.5515898,0.62815475,0.61369586,0.5103545
0.5225329,0.5188199,0.63780534,0.49954206,0.57724375
0.52602977,0.5805651,0.60640335,0.5478631,0.5338891
0.71020997,0.6469308,0.6777555,0.63055485,0.46058124
0.6577443,0.63041294,0.6081329,0.567514,0.45000616
0.63806236,0.5527103,0.6500276,0.65159446,0.4111804
0.5292782,0.60687107,0.67366517,0.5837655,0.41431054
0.653382,0.7082449,0.79424703,0.5860518,0.4132707
0.5190243,0.54978,0.6456672,0.54794765,0.49286827
0.6263693,0.5859692,0.71538615,0.6467471,0.5059842
0.6272625,0.6512112,0.72640723,0.52181,0.5385736
0.5772783,0.5908506,0.6762936,0.6025677,0.50851667
0.6216223,0.4860282,0.6926259,0.5738654,0.46614403
0.6463864,0.67139536,0.7495548,0.671365,0.5424945
0.7280595,0.6619426,0.6901338,0.7414812,0.52489036
0.5991814,0.6434404,0.5989826,0.7007701,0.5250048
0.6514758,0.648618,0.7378386,0.6184552,0.5295111
0.6553526,0.6016963,0.714695,0.65789676,0.52316517
0.58246285,0.5845026,0.5872978,0.5715858,0.57154495
0.727102,0.680954,0.6732557,0.7739384,0.5267932
0.59737605,0.62185264,0.6533615,0.6602474,0.54775935
0.6538789,0.62556505,0.7201508,0.6716304,0.60624886
0.561954,0.6682881,0.66686463,0.57814527,0.57623893
0.58051914,0.58099765,0.61240286,0.48890576,0.5586108
0.6137841,0.5497366,0.56466764,0.5155096,0.51092863
0.49008423,0.572173,0.6642603,0.5586801,0.5431765
0.56879336,0.538177,0.6501558,0.5140779,0.45858768
0.5286601,0.51670283,0.6527486,0.5662463,0.4020848
0.60256326,0.5708126,0.67384064,0.6638341,0.3252801
0.5702093,0.52417976,0.61105216,0.50598353,0.31548545
0.51704746,0.6259439,0.70824623,0.64504004,0.2846392
0.6212417,0.56806827,0.63854504,0.5880383,0.32207376
0.58679986,0.4807207,0.6245837,0.5024518,0.3640744
0.5270214,0.5956177,0.73245853,0.62014675,0.45144105
0.48499957,0.5595153,0.6850199,0.5436608,0.510309
0.6307657,0.64561045,0.6938338,0.56540495,0.57932836
0.48445597,0.5503563,0.65716714,0.5962205,0.56531435
0.5748677,0.63917565,0.6548022,0.5919187,0.5015852
0.6325421,0.68700397,0.6932606,0.71618164,0.5430284
0.6121502,0.55232924,0.67845446,0.6026328,0.48814508
0.6139114,0.6448081,0.70493734,0.6372316,0.54287875
0.5946035,0.5161055,0.64938116,0.60194075,0.51982623
0.63639796,0.63470644,0.5812224,0.58682746,0.47598267
0.5872358,0.52280134,0.70668197,0.595958,0.5125359
0.65171385,0.5619576,0.60887796,0.5796622,0.51568574
0.6143399,0.65242314,0.6497079,0.56028306,0.46924844
0.63812494,0.67995656,0.7002027,0.6482765,0.4732139
0.650837,0.6764751,0.657073,0.6817742,0.5096459
0.6444279,0.52376515,0.6034912,0.5962276,0.5188632
0.5521016,0.4901146,0.66487604,0.5325135,0.54253346
0.565887,0.5256779,0.6798774,0.56919265,0.5008342
0.62432325,0.53619444,0.7222093,0.52895314,0.42768145
0.51414716,0.52820504,0.63565964,0.5393178,0.43393198
0.48914108,0.58828384,0.6574804,0.6271286,0.36972427
0.48365846,0.5653306,0.6151346,0.55014765,0.47822487
0.5757597,0.5633471,0.65595794,0.694981,0.5309831
0.6467651,0.6981584,0.7050497,0.66568387,0.62404543
0.60141,0.5122526,0.68993795,0.56730217,0.5932938
0.6457991,0.58040357,0.6441177,0.64355725,0.6742727
0.61484474,0.5201728,0.67591006,0.53893423,0.7239872
0.5189429,0.54836476,0.62303007,0.45228556,0.7491434
0.6432214,0.505103,0.7149644,0.64798635,0.7467927
0.5890294,0.5538512,0.5998552,0.5771682,0.71493435
0.59860486,0.6291751,0.6987127,0.5647607,0.60657513
0.6048168,0.5669633,0.5972231,0.48643407,0.59291136
0.6123727,0.68315375,0.6450347,0.49516997,0.6621443
0.6000489,0.5718485,0.58994687,0.58627206,0.5442979
0.6850958,0.55290765,0.75564456,0.60902095,0.5075729
0.6638845,0.6153074,0.61759645,0.59999025,0.5017545
0.6216903,0.58242553,0.6614026,0.65204155,0.5394809
0.5805899,0.554461,0.70180327,0.53496915,0.5778346
0.5822271,0.54847646,0.710782,0.5251404,0.486214
0.6195415,0.5769528,0.6724574,0.5633328,0.46557596
0.64058626,0.5823666,0.69150674,0.62005776,0.49226272
0.583024,0.56601065,0.6249681,0.6535923,0.40858352
0.54251105,0.5859889,0.5981889,0.5170822,0.41167596
0.51466286,0.5380075,0.6042659,0.5308086,0.30321723
0.62204283,0.57283,0.73885745,0.5855083,0.35242215
0.6843299,0.643149,0.72882056,0.7073768,0.40449262
0.6412556,0.6566071,0.73754126,0.63275653,0.42505157
0.564987,0.67025965,0.73124653,0.6467662,0.40903
0.63318014,0.6693466,0.7536713,0.6579444,0.44545847
0.6834742,0.51118225,0.7628125,0.64307857,0.48640215
0.58986914,0.4901527,0.64449733,0.56783575,0.4762268
0.60385746,0.5188199,0.6488408,0.6297189,0.38529423
0.67163014,0.6503731,0.71226,0.66479194,0.39201635
0.6510287,0.6120431,0.66367316,0.60735965,0.40282273
0.6595522,0.56111294,0.73361284,0.64913636,0.4142769
0.6188707,0.59789103,0.69826716,0.6550332,0.39295116
0.560732,0.6414994,0.6667706,0.6466178,0.38162678
0.7248765,0.7542028,0.70559967,0.6500836,0.35350016
0.57673633,0.6209542,0.70849496,0.618143,0.46654803
0.61761665,0.6445701,0.6696412,0.53253984,0.40841922
0.52756447,0.6271976,0.637938,0.5932301,0.40502694
0.6255102,0.60489255,0.6480739,0.64087385,0.37422183
0.6839021,0.5334145,0.65287304,0.62254894,0.375697
0.5565704,0.5900464,0.66900766,0.5376106,0.43585956
0.6300287,0.6247691,0.6900281,0.6227124,0.43392804
0.68260014,0.6610297,0.71854985,0.73240095,0.36935106
0.5970325,0.6632526,0.657501,0.6244582,0.3893782
0.65304166,0.6940231,0.7027651,0.64554036,0.3618395
0.63542604,0.632367,0.7883712,0.6684653,0.3502977
0.7054217,0.6697173,0.7387609,0.7031186,0.41067335
0.63032436,0.69326085,0.72880405,0.7232975,0.31920323
0.55036163,0.52998984,0.6933023,0.50524527,0.30774698
0.6541182,0.58083844,0.6000847,0.63558894,0.36457077
0.66238827,0.711033,0.7730415,0.62346745,0.38551176
0.5787814,0.57778734,0.7440434,0.5796783,0.36513597
0.77222776,0.61557776,0.6749303,0.69920146,0.47285053
0.6791832,0.69906455,0.7856566,0.68885857,0.50434124
0.5883366,0.59511876,0.66191155,0.6473037,0.463824
0.48180777,0.548041,0.66581976,0.58760905,0.4993318
0.47294906,0.5451761,0.6523768,0.51135856,0.557448
0.6234489,0.50296277,0.66980636,0.60583824,0.58366877
0.5001829,0.6094534,0.6279004,0.5727094,0.657829
0.58448136,0.68572587,0.7282858,0.67876375,0.6032655
0.60626876,0.54444665,0.67046416,0.6124909,0.58454484
0.5803085,0.5072647,0.7102559,0.5995915,0.6349906
0.5800865,0.49762788,0.59290963,0.58437634,0.62189704
0.5784894,0.6757468,0.7161392,0.5860301,0.612934
0.48951036,0.64295715,0.6906626,0.61719286,0.56640756
0.63352567,0.64593047,0.71641153,0.5549992,0.584936
0.54037106,0.53213733,0.6630925,0.5604141,0.6026262
0.684095,0.6143948,0.6427258,0.58912325,0.5940096
0.62039727,0.5630137,0.7242789,0.73687595,0.6175517
0.6820637,0.6489756,0.7012946,0.62891114,0.55861187
0.5407433,0.6719037,0.6699115,0.56227803,0.45753404
0.6526092,0.5916472,0.7008637,0.7065243,0.4806714
0.48598516,0.48780042,0.60086554,0.5890694,0.54776233
0.5723801,0.6664048,0.64752465,0.5474231,0.5722706
0.5477383,0.61976177,0.6148831,0.6144448,0.5877825
0.5189136,0.5895375,0.58615845,0.5807276,0.50675684
0.5196811,0.51130885,0.72020143,0.6523504,0.5096834
0.62468,0.66276324,0.7814679,0.5525309,0.53336
0.64666486,0.7270246,0.67314786,0.53767943,0.52965075
0.6149201,0.6292539,0.65345377,0.51114035,0.52805275
0.6603198,0.5239672,0.69789374,0.66946924,0.48370296
0.56610596,0.53340334,0.655602,0.5367028,0.5710523
0.58941406,0.6814386,0.64516777,0.54870754,0.5890979
0.5624826,0.5937868,0.6556971,0.5613244,0.51488316
0.4769661,0.5367018,0.5336489,0.533447,0.53062326
0.56611234,0.5076346,0.7310004,0.6536688,0.4863358
0.6481197,0.60833037,0.5912,0.6378038,0.42626324
0.6744216,0.6713958,0.7339652,0.6704726,0.39896604
0.6493833,0.57161987,0.6275978,0.613497,0.5415891
0.62595916,0.589363,0.6354002,0.59145796,0.56977826
0.61398375,0.5851003,0.6198656,0.60840464,0.5637466
0.6048793,0.61788887,0.6265305,0.63604,0.55873257
0.58834773,0.52581227,0.7315037,0.57297254,0.5851425
0.61876726,0.6291325,0.6887693,0.5899883,0.5411875
0.4732186,0.5307947,0.48701063,0.54974914,0.46269172
0.5937596,0.6088637,0.7548722,0.59200037,0.38748768
0.70768595,0.7052324,0.740292,0.6405641,0.40890178
0.7430637,0.7205941,0.7276839,0.59101486,0.44838938
0.57651436,0.6072854,0.5788589,0.6600907,0.4251207
0.5696015,0.5229919,0.6817466,0.51573735,0.5038534
0.5370546,0.5658319,0.56166935,0.47122452,0.43696222
0.56753004,0.5843553,0.6540006,0.5535487,0.36120373
0.5477521,0.527035,0.5646042,0.5315004,0.4847455
0.5391715,0.59078765,0.65557265,0.6082726,0.46341228
0.705707,0.7016581,0.7384291,0.6781366,0.47950605
0.6950509,0.63664454,0.6678223,0.72334856,0.48034152
0.54357237,0.5825584,0.5468448,0.5823234,0.5503072
0.62835723,0.59457093,0.66657186,0.55583376,0.52682054
0.56233287,0.58360547,0.5993549,0.6012659,0.64540946
0.5871425,0.60933375,0.6187169,0.55603534,0.66494644
0.56557393,0.6478478,0.684655,0.5969983,0.7019543
0.62636936,0.617313,0.79640114,0.66178596,0.6619422
0.6132268,0.56699026,0.6228175,0.6090275,0.5448817
0.6364663,0.5017622,0.6768068,0.56444204,0.58471847
0.48226243,0.57283056,0.7130535,0.5589027,0.681112
0.68053377,0.6619822,0.7054174,0.5568408,0.6725976
0.6157441,0.5150271,0.6492692,0.6523828,0.66859984
0.55582845,0.51782256,0.61822355,0.5340702,0.66038775
0.615239,0.5849826,0.5665917,0.5787081,0.61159194
0.64404255,0.6036711,0.7083122,0.5780328,0.59421724
0.6323501,0.61155546,0.7070484,0.54813987,0.59368753
0.5731586,0.6626363,0.6394729,0.5610379,0.5515765
0.5869199,0.6288992,0.66186976,0.53154683,0.52853924
0.6203806,0.62462527,0.6244785,0.5572927,0.49783358
0.6763832,0.57788926,0.6828466,0.666599,0.45361182
0.58477646,0.55508626,0.59155357,0.60572064,0.541751
0.6272942,0.6346935,0.7706251,0.609625,0.5428719
0.6464548,0.578721,0.74412674,0.6014517,0.5645389
0.46837416,0.5181113,0.62167263,0.6398045,0.55031955
0.54395586,0.5501003,0.6032753,0.5817306,0.55148613
0.6484941,0.5704538,0.783211,0.6276208,0.56664985
0.7230883,0.6552465,0.79173195,0.7448458,0.47637925
0.5093204,0.52292746,0.62626964,0.5619854,0.48909244
0.5298105,0.49666,0.5569153,0.5606665,0.43568656
0.65283006,0.64805996,0.7007684,0.63161135,0.49440104
0.51375747,0.5345148,0.62056786,0.5729189,0.5113806
0.50614583,0.55874014,0.662215,0.53536105,0.3935839
0.54016227,0.5736884,0.70777345,0.56340533,0.4300138
0.64990467,0.5993763,0.72129303,0.61517334,0.4885714
0.5918321,0.52081263,0.56319356,0.50235164,0.47503936
0.5655494,0.6032213,0.6208472,0.5473755,0.37712485
0.69436836,0.5585088,0.6676601,0.5813425,0.46650034
0.51130766,0.5373236,0.58403605,0.60299575,0.43595985
0.5832761,0.5694947,0.6213952,0.60804456,0.43847713
0.522852,0.527744,0.659559,0.49910724,0.41406003
0.5512271,0.610914,0.5862952,0.59716326,0.44816875
0.52215344,0.4796234,0.6360147,0.47697073,0.40390706
0.5669344,0.5891293,0.5939768,0.576524,0.4255237
0.60818064,0.54047126,0.62840563,0.5885506,0.42857498
0.59050524,0.54035217,0.6200974,0.5118515,0.46048614
0.5277825,0.61054415,0.6584934,0.5379138,0.47170416
0.5973594,0.54908043,0.6661943,0.57204175,0.51565945
0.5392177,0.49297258,0.5940484,0.5046618,0.52822375
0.5708207,0.60610557,0.65657544,0.54470897,0.512502
0.6848401,0.61595803,0.69775236,0.6137058,0.6128098
0.524526,0.4971407,0.58570224,0.5421457,0.66495776
0.6388681,0.57782197,0.6257485,0.62636375,0.63094455
0.53917384,0.66896796,0.6102755,0.5057443,0.6612242
0.58169085,0.61631984,0.5845076,0.6068793,0.56968546
0.6411921,0.6067682,0.67011476,0.669204,0.552825
0.6524501,0.6618364,0.6823826,0.6139481,0.5145881
0.5374025,0.5932572,0.6726927,0.50890505,0.5433355
0.512041,0.6157975,0.62124217,0.5263351,0.54140544
0.52900183,0.5287851,0.7143135,0.57296395,0.5620747
0.48403433,0.5255745,0.6741364,0.5883843,0.5753998
0.5866301,0.6987415,0.63056123,0.6892418,0.6674557
0.59408987,0.6288868,0.61736995,0.61580634,0.58880097
0.6561931,0.62718636,0.61629444,0.5548705,0.59979796
0.6247011,0.52515733,0.5841736,0.62591386,0.50547194
0.5453948,0.65347666,0.6924155,0.5563618,0.4718181
0.6415375,0.6322751,0.61735356,0.59712577,0.4204436
0.6343834,0.5910898,0.7055454,0.67008865,0.38859993
0.5803102,0.52914256,0.5452854,0.54566026,0.37766403
0.48604214,0.5418685,0.6264297,0.51520646,0.32496107
0.60431665,0.60554165,0.6750037,0.595287,0.34358612
0.5312289,0.59586143,0.6778992,0.7010335,0.33796623
0.5010015,0.63541764,0.6082786,0.5763411,0.32502854
0.5511283,0.47811544,0.5756272,0.54277575,0.31028098
0.5671707,0.48122963,0.5419848,0.44723183,0.38154882
0.63985693,0.50234616,0.65174365,0.43545052,0.28436792
0.6680778,0.61788994,0.58120024,0.6507973,0.28276482
0.5811906,0.62211806,0.65777993,0.60984904,0.29053184
0.531935,0.6072329,0.6828736,0.5901619,0.383434
0.58979225,0.45383787,0.6735916,0.5073142,0.3645023
0.56924576,0.5868912,0.58606106,0.666269,0.3270362
0.67509604,0.5702415,0.544419,0.63247144,0.3681419
0.57970935,0.60839367,0.7422124,0.61359364,0.31787685
0.67819643,0.6641027,0.63926595,0.71125865,0.4189486
0.65681136,0.70792437,0.6336818,0.72722155,0.49576008
0.58864915,0.6673962,0.7430513,0.6445434,0.49285597
0.5904786,0.55596393,0.65664506,0.60128474,0.5781207
0.65359384,0.60478455,0.7398587,0.67898405,0.56145567
0.59109974,0.67942005,0.6859617,0.63814247,0.561218
0.6082697,0.5395182,0.59816295,0.5709207,0.5382723
0.63737625,0.57183105,0.70281696,0.5695515,0.45107704
0.51803964,0.6226215,0.54662263,0.6276648,0.45360515
0.56729186,0.49221176,0.5925484,0.5247264,0.4001039
0.6621675,0.6054868,0.72306204,0.64280295,0.51425946
0.52070075,0.6432508,0.6918582,0.54003096,0.5700456
0.51508814,0.5374924,0.46060193,0.50230414,0.565629
0.60354006,0.63173825,0.71024424,0.5991808,0.50257975
0.59845316,0.5566216,0.5938421,0.61912704,0.42155394
0.5153904,0.54157937,0.65482914,0.5136906,0.5484958
0.65523607,0.6618297,0.70715857,0.54026854,0.58142436
0.7461252,0.6641767,0.74163824,0.6830677,0.4194646
0.6757806,0.63039106,0.6841761,0.65885854,0.4478302
0.64844596,0.73196083,0.7138734,0.6004363,0.43064272
0.6765216,0.46527493,0.68818754,0.63213235,0.46347353
0.6680342,0.7210443,0.6223421,0.672699,0.42816558
0.5736034,0.5647991,0.74128777,0.57984996,0.45267177
0.47079477,0.58326745,0.51848304,0.5579325,0.43199915
0.62936515,0.6758152,0.7210628,0.58976275,0.388824
0.5772277,0.5555392,0.618484,0.58471745,0.4204737
0.67491734,0.61940736,0.66063595,0.682534,0.53327864
0.5446132,0.60928535,0.63608146,0.61680067,0.5039333
0.5773902,0.5287138,0.6775701,0.6005491,0.52314407
0.6299958,0.57732916,0.6160589,0.5969201,0.52400565
0.49845502,0.44275743,0.6080705,0.5814114,0.4974851
0.582552,0.51836246,0.6431761,0.5884555,0.5107185
0.57064223,0.6481563,0.6386225,0.6301121,0.46586862
0.674255,0.6352767,0.71766144,0.6455693,0.41990772
0.64566463,0.66665375,0.6319074,0.6085787,0.53898394
0.627548,0.53754675,0.60923725,0.50576174,0.548159
0.5070836,0.61628914,0.64304805,0.58450377,0.5517393
0.6242311,0.52983975,0.65692735,0.46373367,0.54872805
0.6236538,0.55433184,0.6940813,0.5706881,0.489926
0.4960017,0.47561944,0.63379097,0.43671566,0.39110592
0.6670982,0.7322172,0.742862,0.62239134,0.4873938
0.62720007,0.6872903,0.76255226,0.62025005,0.56691736
0.6193888,0.5580469,0.6514041,0.5385316,0.51662236
0.6026803,0.6162421,0.60446984,0.65037704,0.46627918
0.62503755,0.5173954,0.65319973,0.52966297,0.48160312
0.58946776,0.63247055,0.79038894,0.6714481,0.46849984
0.56368285,0.54215956,0.6009555,0.64277124,0.4664913
0.578198,0.6722655,0.77907676,0.6535773,0.5101151
0.6314446,0.622072,0.58617055,0.5943701,0.47186813
0.59135205,0.5598588,0.57573867,0.6187454,0.46431366
0.61171407,0.55493516,0.66620547,0.66743624,0.3846273
0.5597581,0.61477494,0.70692176,0.5840151,0.3934869
0.5161406,0.64196926,0.6827005,0.5365287,0.4234358
0.62847924,0.5523123,0.6570373,0.677371,0.44988868
0.54869413,0.63904953,0.7221167,0.67091215,0.47699997
0.6160903,0.54161465,0.705973,0.61783224,0.42302132
0.5712485,0.6090512,0.658777,0.63090116,0.3215972
