Healthcare_Index_Tier_X_hospitals,Healthcare_Index_Workforce_capacity,Healthcare_Index_Bed_availability_per_capita,Healthcare_Index_Expenditure_per_capita,Immunization_Coverage,Economic_Index_Budget_allocation_per_capita,Economic_Index_Fraction_of_total_budget,Political_Stability_Index
0.15055524,0.5942233,0.50851226,0.23234965,0.10563351,0.5454569,0.55289227,0.59449106
0.11933908,0.49368444,0.58974445,0.26397088,0.1682522,0.5272812,0.5605895,0.5463427
0.1504357,0.5098623,0.5463418,0.27423888,0.19784962,0.48942068,0.5303996,0.54108095
0.2950575,0.55659896,0.6244062,0.27470547,0.27309543,0.45894787,0.5933852,0.4220335
0.31172308,0.5241854,0.4808498,0.30574232,0.29026568,0.508451,0.62549514,0.39426678
0.3124045,0.5128932,0.33123255,0.3728269,0.2997454,0.51883155,0.50567365,0.4557585
0.23431718,0.4897641,0.42118263,0.37685806,0.22963762,0.53691375,0.50650173,0.2654417
0.25741777,0.5084607,0.5041967,0.32822886,0.34816957,0.5911609,0.4819751,0.28334916
0.32743368,0.50730854,0.41278613,0.33940226,0.3672987,0.57485384,0.45730224,0.34021306
0.40262014,0.5911156,0.41134882,0.24730474,0.37204653,0.50836766,0.6395063,0.4355331
0.3657937,0.5660728,0.5303049,0.2724655,0.2442392,0.57601625,0.6370594,0.3438694
0.41067845,0.5472546,0.5373368,0.24078414,0.41828865,0.48714367,0.7199421,0.49612013
0.47369483,0.5019068,0.5369442,0.11169262,0.30868134,0.54765266,0.62871397,0.42436397
0.42230055,0.53716344,0.4971884,0.18103385,0.33850533,0.44229317,0.5799701,0.46715638
0.42564,0.4623322,0.43571508,0.22095871,0.26485273,0.4585696,0.57067454,0.5708297
0.39968207,0.52076435,0.5428189,0.31666315,0.18313771,0.43626064,0.536007,0.51709265
0.36991695,0.45303074,0.40249774,0.2712032,0.40680563,0.4594129,0.5568944,0.41477942
0.37129164,0.55078256,0.48228306,0.24003416,0.4756269,0.41487405,0.70500624,0.41636732
0.33036315,0.61710423,0.414479,0.22915894,0.34978846,0.5235859,0.6834384,0.49601826
0.2909023,0.5272908,0.5751703,0.24368934,0.3667605,0.549553,0.5565329,0.5414417
0.2736618,0.530326,0.4519341,0.36856216,0.47227234,0.48591623,0.48874784,0.4551791
0.28994444,0.58278495,0.45358235,0.43345916,0.4596855,0.4205253,0.631435,0.5618027
0.26412103,0.56646776,0.40983418,0.42282382,0.39843756,0.45614886,0.67394215,0.585268
0.20814538,0.65570295,0.5014111,0.44900084,0.3063984,0.46218753,0.7346015,0.6441599
0.23494999,0.6154585,0.4037863,0.41031063,0.38426977,0.4861723,0.72652453,0.6542594
0.18793327,0.5437072,0.43800467,0.38284355,0.4133711,0.5740614,0.65810406,0.71368146
0.11568389,0.52171004,0.40290707,0.38818797,0.41008806,0.4909339,0.49375233,0.75636554
0.07942937,0.4942289,0.4062157,0.3283555,0.3205375,0.4635379,0.41482478,0.71464485
0.08586704,0.58841735,0.50154275,0.32761607,0.28164783,0.42312312,0.39785755,0.61202455
0.18447924,0.6332127,0.5774189,0.3055064,0.2916859,0.47240433,0.4067155,0.5679342
0.20316051,0.5776497,0.6051349,0.33166134,0.3453863,0.44742423,0.5497625,0.50587577
0.3465069,0.6088524,0.56086576,0.3581701,0.3428459,0.45363054,0.5161173,0.5822905
0.26635,0.5701784,0.70038253,0.3750929,0.41963634,0.46748707,0.53910786,0.4870539
0.34994256,0.6095371,0.56639594,0.38645694,0.44787723,0.54224265,0.593111,0.4989207
0.37765807,0.59597117,0.44549277,0.37157956,0.51755303,0.5858392,0.64354956,0.5943235
0.29496092,0.5212986,0.49846008,0.31591693,0.4389981,0.5188765,0.5719572,0.31052417
0.32506624,0.5193831,0.2908826,0.27331376,0.4303017,0.52717125,0.5180228,0.52375805
0.41850606,0.5587132,0.17745441,0.34922945,0.3665928,0.5451311,0.5000051,0.4936543
0.3896003,0.6524733,0.43710858,0.31116956,0.40120164,0.52750474,0.54972714,0.48986718
0.31434882,0.5666192,0.43825963,0.32460102,0.42401725,0.4888103,0.47689205,0.58821326
0.32237187,0.5110811,0.5845293,0.24740002,0.32090363,0.5652196,0.4479162,0.6556412
0.2986904,0.47475293,0.4997607,0.2994096,0.31027925,0.45997873,0.46000636,0.60308754
0.3708307,0.42291954,0.44645035,0.29832762,0.15519246,0.5078658,0.56903374,0.52014345
0.32727203,0.50976926,0.5831413,0.33235633,0.17932667,0.5085622,0.64717495,0.5208598
0.27626634,0.4849739,0.55402684,0.37916914,0.23195305,0.54974484,0.5899595,0.558465
0.28955436,0.53743386,0.5027448,0.39352733,0.2889109,0.5534111,0.6175318,0.5274893
0.23970011,0.51244813,0.6301538,0.4525996,0.19954532,0.4972879,0.53569406,0.4191867
0.2710539,0.52816933,0.72737235,0.4003609,0.24766345,0.48386908,0.47311333,0.32591596
0.32813326,0.5228107,0.5013281,0.51004505,0.12093431,0.6137069,0.45446587,0.34298363
0.28340927,0.53109556,0.4460525,0.34794992,0.20932487,0.56459886,0.3624552,0.38323787
0.25286663,0.39094707,0.48368585,0.29505992,0.22784865,0.3909936,0.41061056,0.37530684
0.25099578,0.52046716,0.62697136,0.26493803,0.22406444,0.46317506,0.43624634,0.28316778
0.25697666,0.5306675,0.6029618,0.20807526,0.19388281,0.4919353,0.3798929,0.3126848
0.27421147,0.45256346,0.5469719,0.20919575,0.2757118,0.47260836,0.50252986,0.4041386
0.27982414,0.48809552,0.38439703,0.20932718,0.20397466,0.43007115,0.49183512,0.61020756
0.2871505,0.49265942,0.279826,0.20300843,0.26569596,0.47559294,0.3447907,0.5328867
0.33269265,0.5213533,0.4155006,0.2288892,0.3375907,0.56951934,0.5787393,0.45154935
0.32823798,0.5345242,0.5522882,0.25319892,0.22879468,0.58082896,0.5200308,0.40717322
0.3187378,0.60940844,0.52975297,0.298623,0.28016135,0.5130411,0.5626569,0.5339969
0.25448996,0.59992754,0.6366081,0.29401195,0.3558359,0.5221373,0.6133876,0.5013152
0.36367977,0.5449196,0.5751479,0.38247937,0.39097482,0.60775745,0.42544666,0.37167174
0.40227905,0.49104464,0.5036271,0.33015755,0.4664807,0.5665884,0.566314,0.4421586
0.3563486,0.5638482,0.45692447,0.29217452,0.49225438,0.5434724,0.6072524,0.45541018
0.30962664,0.59791356,0.2872572,0.32276514,0.38748083,0.4825634,0.7099353,0.4067882
0.26912206,0.53541476,0.32858714,0.3174482,0.27812943,0.5306026,0.69623005,0.39184403
0.28532657,0.5521071,0.3826557,0.35351074,0.28040102,0.3612146,0.63001585,0.3705797
0.3857625,0.42544705,0.5939439,0.4064116,0.29439247,0.51223934,0.65187234,0.39224395
0.32389712,0.44648412,0.682575,0.2955577,0.3051849,0.5357327,0.5354054,0.375316
0.1681541,0.3768563,0.5895785,0.3472474,0.37902883,0.3810318,0.57505274,0.42535606
0.13843854,0.38484296,0.533535,0.3785978,0.27308854,0.45328623,0.6283614,0.48204634
0.18575034,0.39273107,0.42766955,0.44900957,0.2874269,0.42840156,0.52934945,0.5419328
0.09733881,0.49010038,0.3440858,0.31909573,0.30262807,0.51016366,0.6365285,0.44093537
0.15949349,0.48068628,0.43334052,0.33308673,0.29249078,0.45796,0.5420458,0.5113889
0.15798822,0.5287842,0.44033897,0.4098394,0.15714385,0.48382178,0.53329664,0.47093618
0.1749784,0.508452,0.4554481,0.47972953,0.3202284,0.46390948,0.56919897,0.43558308
0.18809816,0.52155125,0.5164838,0.36640882,0.2865688,0.48188052,0.5970937,0.5532204
0.13607197,0.49845678,0.43758777,0.28585356,0.2873244,0.43827906,0.6034055,0.5831609
0.1480294,0.5354891,0.5859595,0.24830997,0.34106493,0.47089598,0.6053577,0.6114784
0.16643462,0.46853748,0.4990549,0.28061113,0.2767525,0.46564063,0.71630114,0.59280556
0.17346048,0.5113485,0.5428699,0.26624194,0.37143627,0.3433345,0.6927123,0.65558815
0.22764215,0.4277473,0.5310614,0.37463194,0.28870347,0.4118468,0.63534606,0.6714718
0.28397188,0.47382668,0.47882864,0.34459344,0.24491528,0.4051213,0.5373205,0.71903515
0.24394275,0.46648327,0.4667696,0.36869636,0.26468033,0.45881104,0.58158314,0.5234083
0.2769643,0.6460676,0.35242882,0.41622946,0.27291206,0.4136292,0.6166502,0.59386635
0.27504885,0.58154243,0.46293017,0.368779,0.22853899,0.45812336,0.6777409,0.48407763
0.3042539,0.586553,0.36238438,0.32266,0.31494525,0.48701778,0.7577062,0.5896604
0.27956265,0.4851724,0.5319917,0.29975218,0.30190805,0.46059167,0.71964115,0.5053763
0.38010406,0.51814425,0.30453655,0.34918857,0.2966246,0.5478528,0.68963784,0.5079191
0.35149625,0.56332684,0.57821757,0.3744138,0.1879754,0.50056064,0.5109745,0.37949207
0.43488008,0.6291052,0.48239902,0.41651124,0.35995066,0.43851903,0.51836276,0.36769903
0.37855393,0.6205904,0.4775721,0.3160704,0.31010956,0.6255534,0.51206195,0.38607123
0.3282643,0.6003484,0.5070136,0.3521316,0.3516668,0.62636673,0.63541985,0.46491492
0.31076616,0.5747862,0.38231185,0.2885861,0.3524745,0.5994222,0.6309768,0.49530682
0.2951039,0.5381388,0.5303408,0.3519476,0.11365144,0.5578612,0.66134053,0.5168734
0.38167977,0.4804634,0.44525737,0.35464525,0.016378477,0.56655926,0.6727134,0.60068023
0.30063453,0.54494655,0.50342596,0.28584906,0.075354055,0.5029719,0.7619265,0.73728687
0.34924275,0.5592157,0.52353144,0.26224583,0.12017573,0.41151464,0.6184925,0.7662532
0.36723936,0.58316636,0.5592259,0.20914112,0.15169482,0.47352636,0.5174686,0.74947834
0.30908933,0.5859855,0.6101718,0.21191339,0.14859758,0.5539586,0.5731123,0.6289846
0.33936045,0.4924509,0.4795335,0.1649287,0.21595483,0.6738949,0.63353837,0.7021134
0.43025988,0.59423053,0.36493617,0.26601654,0.2161994,0.6722187,0.5585072,0.64772433
0.3690659,0.6321955,0.46590725,0.33779687,0.27714324,0.6154026,0.61676645,0.6445949
0.31078875,0.60504746,0.44024536,0.35657328,0.28631216,0.64445376,0.53350425,0.6181474
0.40206787,0.5506295,0.31282645,0.35499358,0.40948325,0.5585796,0.5871351,0.465583
0.3361965,0.52817637,0.31691328,0.39854762,0.39790076,0.55563307,0.5888719,0.5236727
0.37374878,0.5008368,0.3476261,0.4383184,0.44769108,0.5787851,0.6407392,0.41414672
0.4092903,0.5693826,0.29879588,0.2812481,0.33165693,0.5858901,0.47993416,0.4728581
0.39875287,0.61685526,0.26528838,0.3436475,0.42478248,0.5145748,0.4499616,0.59188944
0.44158995,0.59203374,0.33394378,0.30960476,0.49840817,0.542075,0.5461637,0.55133617
0.39618433,0.5611479,0.34388977,0.32884243,0.5355779,0.5410833,0.68131053,0.46880686
0.41668975,0.53848314,0.4697992,0.38932517,0.5488921,0.491426,0.6348747,0.5509902
0.435832,0.5921164,0.63681185,0.43603352,0.46664163,0.4549292,0.62897027,0.54464185
0.44399026,0.58461964,0.63973117,0.37919015,0.19835748,0.5756093,0.5305407,0.6124134
0.4471957,0.57658595,0.6616901,0.44630688,0.21375878,0.4732154,0.565059,0.6389596
0.36002126,0.4877445,0.6722046,0.4322934,0.29767075,0.3738572,0.5598465,0.59107864
0.3782627,0.43702602,0.49514246,0.38980186,0.2512619,0.3752927,0.59615254,0.6413939
0.35315925,0.5068225,0.44412935,0.41543448,0.323982,0.4238462,0.58479065,0.6764395
0.32974863,0.46240264,0.4492751,0.35797712,0.28892878,0.39842093,0.6165063,0.5336405
0.29288036,0.48516768,0.5210851,0.385321,0.2049973,0.48430318,0.5975156,0.578397
0.2800694,0.538462,0.4195562,0.45241517,0.30384418,0.5672878,0.49963284,0.5496704
0.2549888,0.5145616,0.52224153,0.45326763,0.4018308,0.5371319,0.557058,0.598103
0.28301924,0.5116829,0.5569107,0.37935033,0.39270023,0.5546521,0.52101946,0.4771424
0.30879816,0.57162297,0.61911756,0.3850935,0.3992033,0.4191478,0.5628693,0.46399152
0.33211502,0.65292704,0.6724386,0.37018138,0.38706812,0.47574154,0.61598843,0.435935
0.27323788,0.5522748,0.7212261,0.36170933,0.37839743,0.49514693,0.6193352,0.46276158
0.27415112,0.62036014,0.75713086,0.29398698,0.35988346,0.4301145,0.55839497,0.52372485
0.25771296,0.6068622,0.70084924,0.30362016,0.40232736,0.4726541,0.5684127,0.46601808
0.2417924,0.6382467,0.52787447,0.35460052,0.35689592,0.32028323,0.58107,0.50633454
0.16563582,0.5412745,0.4903207,0.31722343,0.43630016,0.43473193,0.54457515,0.43067813
0.19492489,0.57520366,0.30182377,0.29997343,0.24117415,0.4403037,0.6794393,0.30908436
0.15067555,0.53260356,0.4840449,0.2517207,0.15465544,0.36658382,0.62712276,0.40585744
0.16055673,0.51209396,0.5414117,0.2612684,0.13092214,0.3632008,0.57966447,0.51355815
0.19558898,0.441568,0.47419074,0.32743406,0.22490211,0.3002448,0.5029579,0.3851421
0.19915822,0.45236292,0.4422859,0.29840472,0.32596326,0.3261093,0.52291167,0.50779754
0.27997267,0.53347653,0.582739,0.32303897,0.25121826,0.46523458,0.58713824,0.5043691
0.40592074,0.49545258,0.6273868,0.2821495,0.24661869,0.48147756,0.51450574,0.4332096
0.3635552,0.5274641,0.54517895,0.2704646,0.23791799,0.5207108,0.4071523,0.31866455
0.31152663,0.618181,0.65776974,0.2823805,0.20249122,0.4870186,0.5110257,0.36973417
0.29700294,0.59728515,0.6544953,0.23482162,0.3289587,0.51791424,0.44136634,0.42413154
0.28847155,0.6046476,0.5698606,0.30412763,0.27257422,0.56607926,0.51980895,0.40663382
0.29995656,0.6880959,0.5238867,0.35345832,0.29623497,0.5281916,0.6790664,0.42509136
0.34761715,0.7176496,0.5346141,0.31431514,0.2426224,0.4870898,0.64419776,0.51987666
0.3900813,0.6328264,0.5970842,0.2882012,0.3703166,0.492315,0.52501315,0.3688032
0.44836816,0.5822882,0.51470727,0.25250477,0.24545181,0.46884528,0.55889255,0.4209745
0.38650754,0.4647199,0.5380343,0.2497359,0.24807689,0.48803562,0.55041623,0.3714339
0.38207033,0.49338353,0.5074409,0.26809573,0.33721325,0.43889216,0.5965826,0.39196655
0.32084486,0.48878685,0.60110736,0.26147243,0.37307382,0.47963884,0.49667227,0.4042447
0.36406723,0.4498726,0.41087255,0.287297,0.39777884,0.44610366,0.427876,0.38720655
0.3486189,0.4976594,0.26468256,0.3832244,0.22071743,0.44799694,0.525847,0.43788546
0.31575263,0.58588576,0.30947298,0.30714965,0.19757673,0.3970511,0.6611179,0.33946183
0.3348363,0.5611858,0.44828615,0.2738548,0.079701945,0.46774578,0.5357405,0.5919124
0.34940663,0.6103259,0.54015565,0.2271972,0.102017075,0.5182774,0.6707716,0.5884598
0.30534816,0.56904244,0.34060043,0.22450401,0.11331585,0.5093897,0.77221334,0.59593546
0.28714195,0.58499736,0.3013485,0.3308308,0.17828971,0.46500725,0.68998474,0.5011527
0.2657165,0.5067442,0.47077546,0.26695374,0.18533024,0.50430465,0.7234314,0.48714587
0.3704278,0.558807,0.4333097,0.27007848,0.1443761,0.5064757,0.46276957,0.42992973
0.45151666,0.59674585,0.3904249,0.37223795,0.3415777,0.5739322,0.35142756,0.5146484
0.36348873,0.62309974,0.31112778,0.389055,0.39624903,0.59847975,0.35429603,0.41409945
0.27542645,0.61225855,0.3893291,0.34248623,0.2950182,0.57583654,0.47499856,0.55831575
0.326191,0.5254491,0.53000766,0.33006188,0.36324623,0.5138817,0.5652513,0.53972447
0.44425222,0.54067147,0.45712566,0.38822296,0.24959359,0.5147401,0.54258645,0.53089404
0.39379364,0.5509472,0.37135327,0.33846584,0.21102506,0.38921684,0.58513117,0.49256712
0.2543951,0.42089775,0.53291154,0.27518773,0.24672873,0.48264125,0.56084037,0.48062924
0.26608843,0.43785423,0.41881186,0.3269915,0.15544951,0.57033473,0.62811536,0.38159525
0.2996975,0.48230577,0.28651807,0.40020475,0.15097928,0.47586358,0.60424584,0.46824718
0.3010533,0.48473534,0.46652174,0.44632846,0.2685302,0.47793055,0.57025284,0.5862012
0.21941292,0.44556278,0.35753235,0.45541936,0.3934771,0.47764573,0.5922722,0.6657781
0.2688218,0.5364334,0.33387846,0.37317842,0.26339617,0.4898824,0.63333964,0.64805686
0.28150693,0.47049028,0.33682925,0.3419673,0.20605397,0.44974744,0.6694882,0.5985378
0.27993253,0.50602555,0.4035332,0.31537038,0.31803223,0.40315086,0.6201687,0.6616871
0.29982758,0.44687653,0.519254,0.32110322,0.2685351,0.35185024,0.5959974,0.52841437
0.2626835,0.48263782,0.27917093,0.2663591,0.2419188,0.4975896,0.7101482,0.4305368
0.24906003,0.52544665,0.32101977,0.27312678,0.3849355,0.5230203,0.5495482,0.44265997
0.18238124,0.5471365,0.34865385,0.29175445,0.28910476,0.53832227,0.6117718,0.50665206
0.22512463,0.5160368,0.3669424,0.26441097,0.303908,0.504035,0.63820195,0.51281565
0.2950559,0.56563675,0.5198491,0.28010836,0.4293965,0.5136263,0.5921997,0.56642884
0.28576767,0.5109919,0.53855073,0.33449838,0.32255688,0.54415274,0.67462355,0.4073649
0.30739433,0.50517374,0.4879457,0.30786622,0.168236,0.613681,0.48894233,0.4952553
0.32958815,0.54991156,0.6100926,0.36150065,0.1789308,0.52430475,0.5978015,0.4456609
0.35944366,0.49015775,0.5520902,0.35150477,0.26234162,0.58962566,0.56727535,0.48123312
0.30827868,0.55255103,0.6075501,0.39347637,0.3394896,0.5650991,0.46815708,0.542989
0.3137915,0.51410794,0.4337449,0.44184268,0.29297483,0.47837287,0.49616405,0.5614828
0.363307,0.45105729,0.40782917,0.4524674,0.37058732,0.48456663,0.5078217,0.505494
0.31479388,0.47915867,0.53913075,0.40663743,0.30751047,0.4948264,0.60365325,0.3459211
0.36684042,0.52259374,0.36758873,0.3662906,0.36340508,0.5065482,0.5238879,0.36077353
0.33515128,0.4919188,0.31834206,0.42359424,0.33679765,0.54352254,0.5727542,0.30577335
0.3502148,0.5314493,0.36897495,0.45308477,0.41762027,0.31712443,0.52495545,0.3652705
0.3286318,0.6589788,0.3450579,0.40360963,0.37374976,0.4088939,0.65174294,0.4792173
0.2613317,0.7839853,0.4279038,0.4557856,0.31404698,0.4308054,0.629129,0.61774904
0.2189219,0.7113086,0.49583995,0.43753034,0.44206813,0.43053612,0.51088727,0.60402983
0.22091919,0.77311933,0.5220647,0.40731093,0.4075524,0.47353545,0.48700744,0.49834332
0.2841925,0.6817679,0.48732758,0.33514005,0.51896596,0.5295021,0.47322333,0.4471057
0.24877644,0.6241566,0.412895,0.41795945,0.48127878,0.5301613,0.47810733,0.3375625
0.2449639,0.57912415,0.32153466,0.34323636,0.39011782,0.5221928,0.38264984,0.36013272
0.23964769,0.5373013,0.38955995,0.40766948,0.44609267,0.51415956,0.44093084,0.3130911
0.1441369,0.54149985,0.44239852,0.38729528,0.37383947,0.37173313,0.55205643,0.37290093
0.114022516,0.53071034,0.47976455,0.3001533,0.3466999,0.3502415,0.3993217,0.3444084
0.11718173,0.52734554,0.5526667,0.33437502,0.36684036,0.5039263,0.5212746,0.46851555
0.07910037,0.45712808,0.5559905,0.3213368,0.37516847,0.55695814,0.60967916,0.4652733
0.06802361,0.44909757,0.36264515,0.24885198,0.2834616,0.54011244,0.51725906,0.4677185
0.12889177,0.4938971,0.41305214,0.3163989,0.2875617,0.5919727,0.52279603,0.30082923
0.1698043,0.5615677,0.42701924,0.26466936,0.41463596,0.65035653,0.4667216,0.4024349
0.15097544,0.5655785,0.39693794,0.33957672,0.43234128,0.6200316,0.5078697,0.5236596
0.18848473,0.43417546,0.2800461,0.35147393,0.4363578,0.5923714,0.6012943,0.5405922
0.15760666,0.4497317,0.4913819,0.3112956,0.35935658,0.5489334,0.71319294,0.30844262
0.26602587,0.5425261,0.5151319,0.32954,0.12783088,0.5972124,0.7470058,0.38663724
0.24206954,0.579285,0.44421917,0.33588278,0.22340985,0.5907056,0.7295851,0.39898217
0.26759103,0.5348721,0.5108641,0.34652606,0.37771717,0.5641354,0.6136617,0.42514122
0.26968116,0.4787975,0.5152756,0.38994548,0.421231,0.6362593,0.6177722,0.45368037
0.2712453,0.34146124,0.5580542,0.33063477,0.5777407,0.48878017,0.6391646,0.4142485
0.34684843,0.4100821,0.4244351,0.31595263,0.6476675,0.5977944,0.5927155,0.49559906
0.29752755,0.49424458,0.3979973,0.2827267,0.5384053,0.57285666,0.57279307,0.42589873
0.30026087,0.45102787,0.3419043,0.25899756,0.32011232,0.42805263,0.56089413,0.5193698
0.28065643,0.3708467,0.50606585,0.29719406,0.26383117,0.4150424,0.4879217,0.43049616
0.29674488,0.4276065,0.41725105,0.21987793,0.4061579,0.4270326,0.46262464,0.5011676
0.29102042,0.5500717,0.27193213,0.17120689,0.2213375,0.40148965,0.56613785,0.55324286
0.4116624,0.5305806,0.2840923,0.25884113,0.2472794,0.5167242,0.52326345,0.4788962
0.39158002,0.5448335,0.3939876,0.3017203,0.31107685,0.5255112,0.49211386,0.3946441
0.42797592,0.5595781,0.40735042,0.26899102,0.26511472,0.5593309,0.45969653,0.33557296
0.3326424,0.5051775,0.31381875,0.27478737,0.22902562,0.5442364,0.36041313,0.44311196
0.3393473,0.4445688,0.42269617,0.33134845,0.21790057,0.47760716,0.4067366,0.4503382
0.23916644,0.62813735,0.23378244,0.3716296,0.3129805,0.44919533,0.42518273,0.47679058
0.30877703,0.6056707,0.38964018,0.3162688,0.39126968,0.5015766,0.5158758,0.47838062
0.28517124,0.57946455,0.46733716,0.29858685,0.47888416,0.567575,0.6731378,0.48672274
0.18638948,0.6044808,0.42396957,0.28646883,0.39996663,0.5808302,0.63625145,0.56136763
0.16726361,0.67325366,0.42667064,0.35783076,0.42924458,0.48368192,0.52904093,0.59658885
0.18098709,0.6649648,0.4018461,0.35080665,0.4471584,0.51124126,0.5869854,0.63693935
0.19322996,0.561358,0.47266278,0.38742334,0.4572496,0.469944,0.5312101,0.50416714
0.22060734,0.56120414,0.65181375,0.38150135,0.5546285,0.4116258,0.6333989,0.4188762
0.16220984,0.5346052,0.8130014,0.3242253,0.49828535,0.39050022,0.55207837,0.6220155
0.22648677,0.51888573,0.85610735,0.33544698,0.4586189,0.43287507,0.5442764,0.48090866
0.15961932,0.53835887,0.84102935,0.37971857,0.37161055,0.45301116,0.62420535,0.5296922
0.104895554,0.43453082,0.7754647,0.42667282,0.3021092,0.48954457,0.5346808,0.5028174
0.09555803,0.48265785,0.7126253,0.38593185,0.39050856,0.52958876,0.6057024,0.36928964
0.17767736,0.47494453,0.67767906,0.39097688,0.27334538,0.43525174,0.47689933,0.4101147
0.13342121,0.4909352,0.71787316,0.32517487,0.38492107,0.47388703,0.6019983,0.46206194
0.14575838,0.5267568,0.6354207,0.25882393,0.39177912,0.46543056,0.49196425,0.5574705
0.24100333,0.6046223,0.54381114,0.37790042,0.32876158,0.52382696,0.6047386,0.5605723
0.21210015,0.5485857,0.41415876,0.37886482,0.2102451,0.53038776,0.7251499,0.5354701
0.13518423,0.54910016,0.4584108,0.31758925,0.22936526,0.54077756,0.6398038,0.51141673
0.1395378,0.5161505,0.41175598,0.39131126,0.12614334,0.5539148,0.66155326,0.539185
0.088207126,0.5405797,0.32923192,0.3464661,0.15209332,0.54222375,0.5774037,0.51127225
0.15868047,0.499695,0.4171113,0.24564311,0.2710529,0.51405185,0.5630791,0.47893062
0.058704495,0.50813353,0.44684863,0.20239538,0.25311866,0.51094025,0.58593214,0.5023436
0.07944623,0.54965127,0.5063485,0.24608423,0.26210225,0.48727047,0.57119757,0.4448742
0.08735439,0.5853119,0.4180817,0.211398,0.29174906,0.5394077,0.49486494,0.46288916
0.14536482,0.46357256,0.6059803,0.27949643,0.22746119,0.5688628,0.49973026,0.36847678
0.26375136,0.5007255,0.75673425,0.24117494,0.27588698,0.5455514,0.5447205,0.35896078
0.32059965,0.35808337,0.6236114,0.21090978,0.34015322,0.48515052,0.6259218,0.3496468
0.3727384,0.43958384,0.5636364,0.17735514,0.4343116,0.55563384,0.6190024,0.33865297
